

sn,compound,ra,rb,xa,xb,za,a,b,c,,,,,,,,,,,,,,,
21,ErVO3,0.89,0.64,1.24,1.63,3,5.598,7.5865,5.292,,,,,,,,,,,,,,,
22,EuFeO3,0.95,0.65,1.1,1.83,3,5.606,7.685,5.372,,,,,,,,,,,,,,,
23,EuMnO3,0.95,0.65,1.1,1.55,3,5.842,7.451,5.336,,,,,,,,,,,,,,,
24,EuNiO3,0.95,0.56,1.1,1.91,3,5.4586,7.5371,5.2941,,,,,,,,,,,,,,,
25,GdFeO3,0.94,0.65,1.2,1.83,3,5.611,7.669,5.349,,,,,,,,,,,,,,,
26,GdNiO3,0.94,0.56,1.2,1.91,3,5.4854,7.5112,5.2606,,,,,,,,,,,,,,,
27,GdTiO3,0.94,0.67,1.2,1.54,3,5.691,7.664,5.393,,,,,,,,,,,,,,,
28,GdVO3,0.94,0.64,1.2,1.63,3,5.62,7.643,5.35,,,,,,,,,,,,,,,
29,HoFeO3,0.89,0.65,1.23,1.83,3,5.591,7.602,5.278,,,,,,,,,,,,,,,
30,HoMnO3,0.89,0.65,1.23,1.55,3,5.831,7.354,5.255,,,,,,,,,,,,,,,
31,LaCrO3,1.03,0.62,1.1,1.66,3,5.4797,7.7588,5.5163,,,,,,,,,,,,,,,
32,LaErO3,1.03,0.89,1.1,1.24,3,6.07,8.45,5.85,,,,,,,,,,,,,,,
33,LaFeO3,1.03,0.65,1.1,1.83,3,5.5652,7.8543,5.557,,,,,,,,,,,,,,,
34,LaMnO3,1.03,0.65,1.1,1.55,3,5.7478,7.6921,5.5352,,,,,,,,,,,,,,,
35,LaRuO3,1.03,0.68,1.1,2.2,3,5.6847,7.8897,5.5462,,,,,,,,,,,,,,,
36,LaTiO3,1.03,0.67,1.1,1.54,3,5.753,7.832,5.546,,,,,,,,,,,,,,,
37,LaTmO3,1.03,0.88,1.1,1.25,3,6.052,8.429,5.844,,,,,,,,,,,,,,,
38,LaVO3,1.03,0.64,1.1,1.63,3,5.543,7.84,5.543,,,,,,,,,,,,,,,
39,MgSeO3,0.5,0.72,2.55,1.31,4,5.9246,7.6663,5.0059,,,,,,,,,,,,,,,
40,MnSeO3,0.5,0.83,2.55,1.55,4,6.0945,7.8656,5.146,,,,,,,,,,,,,,,
41,MnTeO3,0.97,0.83,2.1,1.55,4,6.144,7.787,5.441,,,,,,,,,,,,,,,
42,NaIO3,1.02,0.95,0.93,2.66,1,6.3953,8.128,5.75,,,,,,,,,,,,,,,
43,NdFeO3,0.98,0.65,1.14,1.83,3,5.5835,7.7602,5.4504,,,,,,,,,,,,,,,
44,NdMnO3,0.98,0.65,1.14,1.55,3,5.854,7.557,5.38,,,,,,,,,,,,,,,
45,NdTiO3,0.98,0.67,1.14,1.54,3,5.707,7.765,5.487,,,,,,,,,,,,,,,
46,NdVO3,0.98,0.64,1.14,1.63,3,5.579,7.734,5.451,,,,,,,,,,,,,,,
47,NiSeO3,0.5,0.69,2.55,1.91,4,5.8803,7.5235,4.9394,,,,,,,,,,,,,,,
48,NiTeO3,0.97,0.69,2.1,1.91,4,5.956,7.499,5.213,,,,,,,,,,,,,,,
49,PrFeO3,0.99,0.65,1.13,1.83,3,5.591,7.783,5.486,,,,,,,,,,,,,,,
50,PrMnO3,0.99,0.65,1.13,1.55,3,5.787,7.575,5.545,,,,,,,,,,,,,,,
51,PrNiO3,0.99,0.56,1.13,1.91,3,5.4193,7.6263,5.3801,,,,,,,,,,,,,,,
52,SmAlO3,0.96,0.54,1.17,1.61,3,5.291,7.474,5.29,,,,,,,,,,,,,,,
53,SmFeO3,0.96,0.65,1.17,1.83,3,5.597,7.711,5.4,,,,,,,,,,,,,,,
54,SmNiO3,0.96,0.56,1.17,1.91,3,5.4289,7.563,5.3268,,,,,,,,,,,,,,,
55,SmTiO3,0.96,0.67,1.17,1.54,3,5.665,7.737,5.468,,,,,,,,,,,,,,,
56,SrCeO3,1.18,0.87,0.95,1.12,2,6.145,8.575,6,,,,,,,,,,,,,,,
57,SrHfO3,1.18,0.71,0.95,1.3,2,5.7646,8.1344,5.7516,,,,,,,,,,,,,,,
58,SrOsO3,1.18,0.63,0.95,2.2,2,5.58,7.9,5.55,,,,,,,,,,,,,,,
59,SrPbO3,1.18,0.78,0.95,1.8,2,5.9544,8.3293,5.8627,,,,,,,,,,,,,,,
60,SrPrO3,1.18,0.85,0.95,1.13,2,6.1168,8.5487,5.9857,,,,,,,,,,,,,,,
61,SrRuO3,1.18,0.62,0.95,2.2,2,5.541,7.854,5.574,,,,,,,,,,,,,,,
62,SrSnO3,1.18,0.69,0.95,1.96,2,5.6974,8.0519,5.6986,,,,,,,,,,,,,,,
63,SrZrO3,1.18,0.72,0.95,1.33,2,5.815,8.196,5.815,,,,,,,,,,,,,,,
64,TbAlO3,0.92,0.54,1.1,1.61,3,5.3058,7.4154,5.2296,,,,,,,,,,,,,,,
65,TbFeO3,0.92,0.65,1.1,1.83,3,5.5978,7.6406,5.3268,,,,,,,,,,,,,,,
66,TbMnO3,0.92,0.65,1.1,1.55,3,5.831,7.403,5.297,,,,,,,,,,,,,,,
67,TbVO3,0.92,0.64,1.1,1.63,3,5.606,7.614,5.325,,,,,,,,,,,,,,,
68,TmFeO3,0.88,0.65,1.25,1.83,3,5.576,7.584,5.251,,,,,,,,,,,,,,,
69,TmVO3,0.88,0.64,1.25,1.63,3,5.573,7.545,5.237,,,,,,,,,,,,,,,
70,YbAlO3,0.86,0.54,1.1,1.61,3,5.331,7.3146,5.1251,,,,,,,,,,,,,,,
71,YbFeO3,0.86,0.65,1.1,1.83,3,5.557,7.57,5.233,,,,,,,,,,,,,,,
72,YbVO3,0.86,0.64,1.1,1.63,3,5.563,7.533,5.223,,,,,,,,,,,,,,,
73,YCrO3,0.9,0.62,1.22,1.66,3,5.521,7.532,5.241,,,,,,,,,,,,,,,
74,YFeO3,0.9,0.65,1.22,1.83,3,5.587,7.599,5.279,,,,,,,,,,,,,,,
75,YTiO3,0.9,0.67,1.22,1.54,3,5.6901,7.613,5.3381,,,,,,,,,,,,,,,
76,PuCrO3,1,0.62,1.3,1.66,3,5.51,7.76,5.46,,,,,,,,,,,,,,,
77,LuCrO3,0.86,0.62,1,1.66,3,5.497,7.475,5.176,,,,,,,,,,,,,,,
78,YbCrO3,0.86,0.62,1.1,1.66,3,5.51,7.49,5.195,,,,,,,,,,,,,,,
79,TmCrO3,0.88,0.62,1.25,1.66,3,5.508,7.5,5.209,,,,,,,,,,,,,,,
80,HoCrO3,0.89,0.62,1.23,1.66,3,5.519,7.538,5.243,,,,,,,,,,,,,,,
81,TbCrO3,0.92,0.62,1.1,1.66,3,5.518,7.576,5.291,,,,,,,,,,,,,,,
82,EuCrO3,0.95,0.62,1.1,1.66,3,5.515,7.622,5.34,,,,,,,,,,,,,,,
83,SmCrO3,0.96,0.62,1.17,1.66,3,5.508,7.643,5.367,,,,,,,,,,,,,,,
84,PmCrO3,0.97,0.62,1.1,1.66,3,5.49,7.69,5.4,,,,,,,,,,,,,,,
85,CeCrO3,1.01,0.62,1.12,1.66,3,5.475,7.74,5.475,,,,,,,,,,,,,,,
86, PrCrO3,0.99,0.62,1.13,1.66,3,5.479,7.718,5.448,,,,,,,,,,,,,,,
87,NdCrO3,0.98,0.62,1.14,1.66,3,5.4798,7.6918,5.4221,,,,,,,,,,,,,,,
88, ErCrO3,0.89,0.62,1.24,1.66,3,5.516,7.519,5.223,,,,,,,,,,,,,,,
89, DyCrO3,0.91,0.62,1.22,1.66,3,5.525,7.561,5.271,,,,,,,,,,,,,,,
90, GdCrO3,0.94,0.62,1.2,1.66,3,5.515,7.6,5.312,,,,,,,,,,,,,,,
91, NdNiO3,0.98,0.56,1.14,1.91,3,5.4042,7.5991,5.3726,,,,,,,,,,,,,,,
92, PrRuO3,0.99,0.68,1.13,2.2,3,5.8344,7.7477,5.3794,,,,,,,,,,,,,,,
93,CeFeO3,1.01,0.65,1.12,1.83,3,5.536,7.819,5.519,,,,,,,,,,,,,,,
94,HoAlO3,0.89,0.54,1.23,1.61,3,5.322,7.374,5.18,,,,,,,,,,,,,,,
95,TmAlO3,0.88,0.54,1.25,1.61,3,5.33,7.29,5.15,,,,,,,,,,,,,,,
96, LuFeO3,0.86,0.65,1,1.83,3,5.547,7.565,5.213,,,,,,,,,,,,,,,
97, LaRhO3,1.03,0.67,1.1,2.28,3,5.679,7.9,5.524,,,,,,,,,,,,,,,
98, CeTiO3,1.01,0.67,1.12,1.54,3,5.757,7.801,5.513,,,,,,,,,,,,,,,
99,PrVO3,0.99,0.64,1.13,1.63,3,5.562,7.751,5.487,,,,,,,,,,,,,,,
100, PrRhO3,0.99,0.67,1.13,2.28,3,5.747,7.803,5.414,,,,,,,,,,,,,,,
